Delay -5C 15C 35C 55C
-4147.86005 -2.5e-05 6.1e-05 0.000253 3.4e-05
-4146.85936 4e-05 4.4e-05 -6.1e-05 2.9e-05
-4145.85867 2.4e-05 3.9e-05 5e-05 -0.000163
-4144.85798 4e-05 -7e-06 6.2e-05 5.3e-05
-4143.85729 -0.000132 -0.000111 -1.2e-05 0.000111
-4142.8566 3.5e-05 -2.4e-05 9.7e-05 -5.9e-05
-4141.85591 6.7e-05 5.6e-05 0.000126 7.5e-05
-4140.85522 0.000115 -5.7e-05 -2e-06 0.000128
-4139.85453 -4.5e-05 -1.7e-05 -5.9e-05 -8.6e-05
-4138.85384 -3.8e-05 5e-05 9.2e-05 -1e-05
-4137.85315 2.2e-05 -0.000102 1.1e-05 4.2e-05
-4136.85246 -5.5e-05 -2.3e-05 6.9e-05 -9e-05
-4135.85177 -3e-05 0.000124 -4e-05 3e-06
-4134.85108 -6.8e-05 -2.4e-05 -3.4e-05 -7.6e-05
-4133.85039 0.000137 0.00012 0.00016 0.000141
-4132.8497 -4.2e-05 0.000201 3e-05 0.000117
-4131.84901 -0.000124 0.00011 -0.00013 -7e-06
-4130.84832 -0.000113 0.000153 0.000193 -4.8e-05
-4129.84763 3.6e-05 7.1e-05 7e-06 8.3e-05
-4128.84694 2.5e-05 0.000159 -7.1e-05 -3.1e-05
-4127.84625 -0.000257 7.8e-05 0.000104 -8e-06
-4126.84556 -9.4e-05 -6.7e-05 -0.000208 0.000218
-4125.84487 -2.6e-05 3e-06 0.000145 -0.000141
-4124.84418 -0.000159 -3.9e-05 0.000118 -5.9e-05
-4123.84349 -5.8e-05 0.000132 -1.9e-05 -0.000132
-4122.8428 6.1e-05 9.8e-05 0.000197 -9.5e-05
-4121.84211 6e-05 0.000159 1.5e-05 -0.000169
-4120.84142 4.3e-05 1.5e-05 4.5e-05 0.000131
-4119.84073 -2.5e-05 4e-05 3.7e-05 4e-06
-4118.84004 -0.000123 -4.7e-05 -0.000109 7e-06
-4117.83935 2e-05 -9.8e-05 0.000103 2.8e-05
-4116.83866 -2.3e-05 8.9e-05 0.000105 1.9e-05
-4115.83797 -9e-06 1.5e-05 -0.000312 -0.000123
-4114.83728 0.000103 0.000139 9.9e-05 5.6e-05
-4113.83659 9e-05 1.7e-05 -3.8e-05 -0.000107
-4112.8359 2.5e-05 7.7e-05 -7.4e-05 -0.0002
-4111.83521 -6.8e-05 4.1e-05 0.000143 -4.9e-05
-4110.83452 -3.9e-05 0.000101 -0.000167 4.7e-05
-4109.83383 -2e-06 7e-05 -1.9e-05 2.3e-05
-4108.83314 -3.6e-05 -0.000121 -2e-06 -8.5e-05
-4107.83245 6.5e-05 -5e-06 -7.4e-05 -4e-06
-4106.83176 4e-05 -2.7e-05 0.000157 7.3e-05
-4105.83107 -0.00012 -7.7e-05 -0.000105 0.000159
