Delay -5C 15C 35C 55C 70C
-4305.96907 2.3e-05 -4.5e-05 4.7e-05 8e-05 1.3e-05
-4304.96838 -3.3e-05 0.000114 -8e-06 6.1e-05 -2.6e-05
-4303.96769 -4e-06 -5.3e-05 -2e-06 -8e-06 1.8e-05
-4302.967 1.8e-05 -9.6e-05 6.7e-05 -0.000125 0
-4301.96631 5e-06 -5.1e-05 -0.000102 6.2e-05 0.000128
-4300.96562 4.9e-05 -5.3e-05 -0.000104 2.2e-05 -6e-06
-4299.96493 7.2e-05 4.8e-05 6.4e-05 -4.2e-05 -3.1e-05
-4298.96424 1.3e-05 0.000104 -0.000119 -5e-05 -0.000105
-4297.96355 7.6e-05 4.1e-05 8.3e-05 -0.000136 -6e-06
-4296.96286 2.5e-05 8.1e-05 6.5e-05 -4.7e-05 1.2e-05
-4295.96217 7.2e-05 9.7e-05 -6.6e-05 -7e-06 1.1e-05
-4294.96148 -1.7e-05 -0.000109 0.000107 -0.000116 1.8e-05
-4293.96079 1.6e-05 -1.6e-05 5.6e-05 -2.7e-05 3.3e-05
-4292.9601 0.00012 -3.6e-05 4.3e-05 -4e-05 -0.000124
-4291.95941 -4e-06 -0.000107 -8e-06 -2.9e-05 -6.7e-05
-4290.95872 -0.000129 -5.2e-05 -2.9e-05 -0.000104 9e-06
-4289.95803 0.00011 8e-06 -0.000131 -0.000114 -1.2e-05
-4288.95734 -4.2e-05 -1.9e-05 -5.7e-05 -0.000108 -3.4e-05
-4287.95665 -3e-06 2.9e-05 -5e-06 -3e-05 -3e-05
-4286.95596 4.5e-05 -5e-05 0.0001 0.000106 -0.000135
-4285.95527 -6.9e-05 -1.6e-05 3.4e-05 -6.4e-05 -3.3e-05
-4284.95458 -8.2e-05 -7.4e-05 -1.1e-05 -2.2e-05 1.3e-05
-4283.95389 -1e-06 -1.4e-05 4.8e-05 4.9e-05 -3.2e-05
-4282.9532 -9.4e-05 2.6e-05 -0.000132 -4.6e-05 -3e-05
-4281.95251 -0.000101 5.6e-05 -2.1e-05 2.6e-05 -3.5e-05
-4280.95182 -3.8e-05 6.1e-05 6.1e-05 0.000172 2.3e-05
-4279.95113 -3.7e-05 -1.4e-05 -2.5e-05 -1.2e-05 -1.7e-05
-4278.95044 5.5e-05 -0.000178 7e-06 7.6e-05 -9.8e-05
-4277.94975 -8.9e-05 -4.6e-05 3.2e-05 -2.8e-05 5.1e-05
-4276.94906 2.6e-05 4.3e-05 5e-06 -6.7e-05 1.3e-05
-4275.94837 -0.000142 -4.2e-05 -0.000109 -0.000194 -0.000108
-4274.94768 -7.5e-05 9.8e-05 -9e-06 6.5e-05 1e-06
-4273.94699 -8.4e-05 -3.2e-05 1e-06 4.8e-05 -8.2e-05
-4272.9463 7.5e-05 2.1e-05 0.000127 -6.6e-05 -3.5e-05
-4271.94561 -2.7e-05 -4.5e-05 -9.3e-05 3.3e-05 6e-06
-4270.94492 -4.9e-05 -0.000167 1.9e-05 -0.000172 3.5e-05
-4269.94423 -0.000113 5.6e-05 -2.2e-05 3.5e-05 4.1e-05
-4268.94354 -5.1e-05 2.8e-05 3.7e-05 -0.000125 -6.6e-05
-4267.94285 -0.000126 -7e-06 3.1e-05 7.8e-05 -8.5e-05
-4266.94216 -0.000171 -6.7e-05 6e-05 -8.6e-05 -8.5e-05
-4265.94147 -1e-06 -2e-06 1.2e-05 6.9e-05 2.5e-05
-4264.94078 -8.1e-05 -9e-06 -0.0001 -5.7e-05 6e-06
-4263.94009 2.5e-05 -5.7e-05 -5.6e-05 2.9e-05 -4e-05
-4262.9394 9.2e-05 -7.2e-05 -1.4e-05 1.7e-05 -7.3e-05
-4261.93871 -1.2e-05 7.6e-05 -2e-05 0.000116 -0.0001
-4260.93802 -8e-05 -0.000128 -2.2e-05 2e-05 3.4e-05
-4259.93733 -2.5e-05 -8.8e-05 -0.000116 3.3e-05 5.5e-05
-4258.93664 0.000156 -9.1e-05 -4e-06 -1.6e-05 -6.5e-05
