Mar. 30, 2023   17:14:41
Cyclic Voltammetry
File: ref20mvs
Data Source:  Experiment
Instrument Model:  CHI600B
Header: 
Note: 

Init E (V) = 0.268
High E (V) = 0.5
Low E (V) = -0.2
Init P/N = N
Scan Rate (V/s) = 0.02
Segment = 2
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-6

Segment 1:

Segment 2:

Potential/V, Current/A, Charge/C

Segment 1:
-0.163, -2.437e-7, -2.134e-6
-0.164, -2.451e-7, -2.147e-6
-0.165, -2.468e-7, -2.159e-6
-0.166, -2.485e-7, -2.171e-6
-0.167, -2.500e-7, -2.184e-6
-0.168, -2.522e-7, -2.196e-6
-0.169, -2.532e-7, -2.209e-6
-0.170, -2.542e-7, -2.222e-6
-0.171, -2.564e-7, -2.235e-6
-0.172, -2.579e-7, -2.248e-6
-0.173, -2.600e-7, -2.261e-6
-0.174, -2.616e-7, -2.274e-6
-0.175, -2.627e-7, -2.287e-6
-0.176, -2.641e-7, -2.300e-6
-0.177, -2.662e-7, -2.313e-6
-0.178, -2.678e-7, -2.327e-6
-0.179, -2.698e-7, -2.340e-6
-0.180, -2.720e-7, -2.354e-6
-0.181, -2.733e-7, -2.367e-6
-0.182, -2.749e-7, -2.381e-6
-0.183, -2.768e-7, -2.395e-6
-0.184, -2.787e-7, -2.409e-6
-0.185, -2.805e-7, -2.423e-6
-0.186, -2.824e-7, -2.437e-6
-0.187, -2.840e-7, -2.451e-6
-0.188, -2.862e-7, -2.466e-6
-0.189, -2.882e-7, -2.480e-6
-0.190, -2.905e-7, -2.495e-6
-0.191, -2.921e-7, -2.509e-6
-0.192, -2.935e-7, -2.524e-6
-0.193, -2.960e-7, -2.539e-6
-0.194, -2.974e-7, -2.554e-6
-0.195, -2.995e-7, -2.568e-6
-0.196, -3.017e-7, -2.584e-6
-0.197, -3.037e-7, -2.599e-6
-0.198, -3.061e-7, -2.614e-6
-0.199, -3.078e-7, -2.629e-6
-0.200, -2.906e-7, -2.644e-6

Segment 2:
-0.199, -2.677e-7, -2.657e-6
-0.198, -2.622e-7, -2.670e-6
-0.197, -2.579e-7, -2.683e-6
-0.196, -2.535e-7, -2.696e-6
-0.195, -2.504e-7, -2.709e-6
-0.194, -2.470e-7, -2.721e-6
-0.193, -2.432e-7, -2.733e-6
-0.192, -2.400e-7, -2.745e-6
-0.191, -2.373e-7, -2.757e-6
-0.190, -2.339e-7, -2.769e-6
-0.189, -2.313e-7, -2.780e-6
-0.188, -2.281e-7, -2.792e-6
-0.187, -2.252e-7, -2.803e-6
-0.186, -2.227e-7, -2.814e-6
-0.185, -2.195e-7, -2.825e-6
-0.184, -2.174e-7, -2.836e-6
-0.183, -2.144e-7, -2.847e-6
-0.182, -2.122e-7, -2.857e-6
-0.181, -2.093e-7, -2.868e-6
-0.180, -2.064e-7, -2.878e-6
-0.179, -2.043e-7, -2.888e-6
-0.178, -2.020e-7, -2.898e-6
-0.177, -1.993e-7, -2.908e-6
-0.176, -1.971e-7, -2.918e-6
-0.175, -1.947e-7, -2.928e-6
-0.174, -1.929e-7, -2.937e-6
-0.173, -1.899e-7, -2.947e-6
-0.172, -1.877e-7, -2.956e-6
-0.171, -1.853e-7, -2.966e-6
-0.170, -1.835e-7, -2.975e-6
-0.169, -1.809e-7, -2.984e-6
-0.168, -1.793e-7, -2.993e-6
-0.167, -1.771e-7, -3.002e-6
-0.166, -1.750e-7, -3.010e-6
-0.165, -1.733e-7, -3.019e-6
-0.164, -1.706e-7, -3.028e-6
-0.163, -1.687e-7, -3.036e-6
-0.162, -1.664e-7, -3.044e-6
-0.161, -1.649e-7, -3.053e-6
-0.160, -1.629e-7, -3.061e-6
-0.159, -1.607e-7, -3.069e-6
-0.158, -1.591e-7, -3.077e-6
-0.157, -1.570e-7, -3.085e-6
-0.156, -1.553e-7, -3.092e-6
-0.155, -1.539e-7, -3.100e-6
-0.154, -1.511e-7, -3.108e-6
-0.153, -1.497e-7, -3.115e-6
-0.152, -1.477e-7, -3.122e-6
-0.151, -1.457e-7, -3.130e-6
-0.150, -1.446e-7, -3.137e-6
-0.149, -1.424e-7, -3.144e-6
-0.148, -1.408e-7, -3.151e-6
-0.147, -1.390e-7, -3.158e-6
-0.146, -1.371e-7, -3.165e-6
-0.145, -1.357e-7, -3.172e-6
-0.144, -1.343e-7, -3.178e-6
-0.143, -1.319e-7, -3.185e-6
-0.142, -1.295e-7, -3.192e-6
-0.141, -1.274e-7, -3.198e-6
-0.140, -1.262e-7, -3.204e-6
-0.139, -1.248e-7, -3.210e-6
-0.138, -1.227e-7, -3.217e-6
-0.137, -1.213e-7, -3.223e-6
-0.136, -1.203e-7, -3.229e-6
-0.135, -1.180e-7, -3.235e-6
-0.134, -1.166e-7, -3.240e-6
-0.133, -1.159e-7, -3.246e-6
-0.132, -1.140e-7, -3.252e-6
-0.131, -1.121e-7, -3.257e-6
-0.130, -1.111e-7, -3.263e-6
-0.129, -1.094e-7, -3.269e-6
-0.128, -1.076e-7, -3.274e-6
-0.127, -1.063e-7, -3.279e-6
-0.126, -1.055e-7, -3.284e-6
-0.125, -1.032e-7, -3.290e-6
-0.124, -1.021e-7, -3.295e-6
-0.123, -1.011e-7, -3.300e-6
-0.122, -9.959e-8, -3.305e-6
-0.121, -9.787e-8, -3.310e-6
-0.120, -9.700e-8, -3.315e-6
-0.119, -9.609e-8, -3.319e-6
-0.118, -9.450e-8, -3.324e-6
-0.117, -9.274e-8, -3.329e-6
-0.116, -9.176e-8, -3.333e-6
-0.115, -9.032e-8, -3.338e-6
-0.114, -8.869e-8, -3.342e-6
-0.113, -8.743e-8, -3.347e-6
-0.112, -8.669e-8, -3.351e-6
-0.111, -8.561e-8, -3.355e-6
-0.110, -8.360e-8, -3.359e-6
-0.109, -8.252e-8, -3.364e-6
-0.108, -8.170e-8, -3.368e-6
-0.107, -8.066e-8, -3.372e-6
-0.106, -7.880e-8, -3.376e-6
-0.105, -7.767e-8, -3.379e-6
-0.104, -7.730e-8, -3.383e-6
-0.103, -7.639e-8, -3.387e-6
-0.102, -7.498e-8, -3.391e-6
-0.101, -7.337e-8, -3.395e-6
